t,  x,  y
0.000000e+00,  2.000000e-08,  1.000000e+00
4.000000e-08,  6.000000e-08,  1.000000e+00
1.200000e-07,  1.400000e-07,  1.000000e+00
2.800000e-07,  3.000000e-07,  1.000000e+00
6.000000e-07,  6.200000e-07,  1.000000e+00
1.240000e-06,  1.260000e-06,  1.000000e+00
2.520000e-06,  2.540000e-06,  1.000000e+00
5.080000e-06,  5.100000e-06,  1.000000e+00
1.020000e-05,  1.022000e-05,  1.000000e+00
2.044000e-05,  2.046000e-05,  1.000000e+00
4.092000e-05,  4.094000e-05,  1.000000e+00
8.188000e-05,  8.190000e-05,  1.000000e+00
1.638000e-04,  1.638200e-04,  1.000000e+00
3.276400e-04,  3.276600e-04,  9.999999e-01
6.553200e-04,  6.553400e-04,  9.999998e-01
1.310680e-03,  1.310700e-03,  9.999991e-01
2.621400e-03,  2.621417e-03,  9.999966e-01
5.242840e-03,  5.242836e-03,  9.999863e-01
1.048572e-02,  1.048555e-02,  9.999450e-01
2.097148e-02,  2.096996e-02,  9.997801e-01
4.122059e-02,  4.120894e-02,  9.991506e-01
6.381725e-02,  6.377396e-02,  9.979644e-01
8.683080e-02,  8.672175e-02,  9.962326e-01
1.099146e-01,  1.096934e-01,  9.939655e-01
1.330101e-01,  1.326183e-01,  9.911672e-01
1.561075e-01,  1.554743e-01,  9.878399e-01
1.792053e-01,  1.782477e-01,  9.839857e-01
2.023031e-01,  2.009260e-01,  9.796064e-01
2.254010e-01,  2.234972e-01,  9.747046e-01
2.484988e-01,  2.459492e-01,  9.692827e-01
2.715967e-01,  2.682700e-01,  9.633438e-01
2.946946e-01,  2.904477e-01,  9.568909e-01
3.177925e-01,  3.124704e-01,  9.499275e-01
3.408903e-01,  3.343264e-01,  9.424574e-01
3.639882e-01,  3.560040e-01,  9.344844e-01
3.870860e-01,  3.774917e-01,  9.260130e-01
4.101839e-01,  3.987780e-01,  9.170475e-01
4.332817e-01,  4.198515e-01,  9.075928e-01
4.563796e-01,  4.407011e-01,  8.976539e-01
4.794774e-01,  4.613155e-01,  8.872361e-01
5.025752e-01,  4.816839e-01,  8.763450e-01
5.256732e-01,  5.017954e-01,  8.649863e-01
5.487711e-01,  5.216392e-01,  8.531662e-01
5.718689e-01,  5.412046e-01,  8.408910e-01
5.949666e-01,  5.604811e-01,  8.281672e-01
6.180644e-01,  5.794588e-01,  8.150015e-01
6.411623e-01,  5.981273e-01,  8.014011e-01
6.642601e-01,  6.164767e-01,  7.873731e-01
6.873579e-01,  6.344972e-01,  7.729251e-01
7.104556e-01,  6.521793e-01,  7.580648e-01
7.335535e-01,  6.695134e-01,  7.428000e-01
7.566515e-01,  6.864905e-01,  7.271388e-01
7.797493e-01,  7.031012e-01,  7.110898e-01
7.853982e-01,  7.071068e-01,  7.071068e-01
8.315936e-01,  7.390060e-01,  6.736989e-01
8.551405e-01,  7.546631e-01,  6.561125e-01
8.783125e-01,  7.696626e-01,  6.384508e-01
9.014227e-01,  7.842105e-01,  6.204949e-01
9.245227e-01,  7.983334e-01,  6.022157e-01
9.476209e-01,  8.120293e-01,  5.836166e-01
9.707189e-01,  8.252919e-01,  5.647064e-01
9.938168e-01,  8.381141e-01,  5.454949e-01
1.016915e+00,  8.504892e-01,  5.259925e-01
1.040013e+00,  8.624107e-01,  5.062093e-01
1.063110e+00,  8.738719e-01,  4.861563e-01
1.086208e+00,  8.848669e-01,  4.658439e-01
1.109306e+00,  8.953899e-01,  4.452829e-01
1.132404e+00,  9.054353e-01,  4.244844e-01
1.155502e+00,  9.149976e-01,  4.034594e-01
1.178600e+00,  9.240717e-01,  3.822192e-01
1.201697e+00,  9.326528e-01,  3.607751e-01
1.224795e+00,  9.407364e-01,  3.391385e-01
1.247893e+00,  9.483182e-01,  3.173210e-01
1.270991e+00,  9.553940e-01,  2.953342e-01
1.294089e+00,  9.619601e-01,  2.731899e-01
1.317187e+00,  9.680131e-01,  2.508998e-01
1.340284e+00,  9.735496e-01,  2.284758e-01
1.363382e+00,  9.785667e-01,  2.059300e-01
1.386480e+00,  9.830618e-01,  1.832742e-01
1.409578e+00,  9.870325e-01,  1.605208e-01
1.432676e+00,  9.904765e-01,  1.376817e-01
1.455774e+00,  9.933922e-01,  1.147691e-01
1.478872e+00,  9.957779e-01,  9.179529e-02
1.501969e+00,  9.976324e-01,  6.877250e-02
1.525067e+00,  9.989546e-01,  4.571304e-02
1.548165e+00,  9.997439e-01,  2.262917e-02
1.570796e+00,  1.000000e+00,  -3.820542e-08
1.594290e+00,  9.997240e-01,  -2.349201e-02
1.617454e+00,  9.989117e-01,  -4.664067e-02
1.640563e+00,  9.975673e-01,  -6.970977e-02
1.663662e+00,  9.956911e-01,  -9.273258e-02
1.686760e+00,  9.932837e-01,  -1.157044e-01
1.709858e+00,  9.903464e-01,  -1.386143e-01
1.732956e+00,  9.868809e-01,  -1.614502e-01
1.756054e+00,  9.828888e-01,  -1.841999e-01
1.779152e+00,  9.783724e-01,  -2.068513e-01
1.802250e+00,  9.733340e-01,  -2.293924e-01
1.825348e+00,  9.677764e-01,  -2.518111e-01
1.848445e+00,  9.617025e-01,  -2.740955e-01
1.871543e+00,  9.551155e-01,  -2.962336e-01
1.894641e+00,  9.480190e-01,  -3.182137e-01
1.917739e+00,  9.404167e-01,  -3.400241e-01
1.940837e+00,  9.323127e-01,  -3.616532e-01
1.963935e+00,  9.237114e-01,  -3.830891e-01
1.987032e+00,  9.146172e-01,  -4.043208e-01
2.010130e+00,  9.050351e-01,  -4.253368e-01
2.033228e+00,  8.949703e-01,  -4.461258e-01
2.056326e+00,  8.844279e-01,  -4.666768e-01
2.079424e+00,  8.734137e-01,  -4.869790e-01
2.102522e+00,  8.619335e-01,  -5.070213e-01
2.125619e+00,  8.499936e-01,  -5.267930e-01
2.148717e+00,  8.376002e-01,  -5.462838e-01
2.171815e+00,  8.247599e-01,  -5.654830e-01
2.194913e+00,  8.114796e-01,  -5.843807e-01
2.218011e+00,  7.977666e-01,  -6.029664e-01
2.241108e+00,  7.836278e-01,  -6.212306e-01
2.264206e+00,  7.690710e-01,  -6.391633e-01
2.287304e+00,  7.541039e-01,  -6.567551e-01
2.310402e+00,  7.387345e-01,  -6.739965e-01
2.333500e+00,  7.229710e-01,  -6.908784e-01
2.356195e+00,  7.071067e-01,  -7.071068e-01
2.379633e+00,  6.903402e-01,  -7.234849e-01
2.402788e+00,  6.734048e-01,  -7.392740e-01
2.425895e+00,  6.561439e-01,  -7.546358e-01
2.448995e+00,  6.385388e-01,  -7.695897e-01
2.472093e+00,  6.205940e-01,  -7.841321e-01
2.495190e+00,  6.023183e-01,  -7.982560e-01
2.518288e+00,  5.837213e-01,  -8.119541e-01
2.541386e+00,  5.648129e-01,  -8.252190e-01
2.564484e+00,  5.456031e-01,  -8.380437e-01
2.587582e+00,  5.261023e-01,  -8.504213e-01
2.610680e+00,  5.063210e-01,  -8.623451e-01
2.633777e+00,  4.862694e-01,  -8.738089e-01
2.656875e+00,  4.659584e-01,  -8.848066e-01
2.679973e+00,  4.453988e-01,  -8.953323e-01
2.703071e+00,  4.246015e-01,  -9.053803e-01
2.726169e+00,  4.035778e-01,  -9.149453e-01
2.749267e+00,  3.823387e-01,  -9.240223e-01
2.772365e+00,  3.608956e-01,  -9.326062e-01
2.795462e+00,  3.392600e-01,  -9.406926e-01
2.818560e+00,  3.174435e-01,  -9.482772e-01
2.841658e+00,  2.954576e-01,  -9.553559e-01
2.864756e+00,  2.733142e-01,  -9.619248e-01
2.887854e+00,  2.510248e-01,  -9.679807e-01
2.910952e+00,  2.286014e-01,  -9.735201e-01
2.934050e+00,  2.060562e-01,  -9.785402e-01
2.957148e+00,  1.834011e-01,  -9.830382e-01
2.980245e+00,  1.606481e-01,  -9.870117e-01
3.003343e+00,  1.378094e-01,  -9.904588e-01
3.026441e+00,  1.148972e-01,  -9.933774e-01
3.049539e+00,  9.192372e-02,  -9.957661e-01
3.072637e+00,  6.890117e-02,  -9.976235e-01
3.095735e+00,  4.584189e-02,  -9.989487e-01
3.118833e+00,  2.275814e-02,  -9.997410e-01
3.141593e+00,  -5.641064e-08,  -1.000000e+00
3.164976e+00,  -2.338100e-02,  -9.997266e-01
